,repository_name,language
0,.github,
1,ads-advanced-tools-docs,
2,ads-pao-amznjs-gtm-template,Smarty
3,alexa-coho,JavaScript
4,alexa-skills-kit-js,
5,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,amazon-advertising-api-php-sdk,PHP
7,amazon-codeguru-profiler-for-spark,Java
8,amazon-frustration-free-setup-certification-tool,Python
9,amazon-hub-counter-api-docs,CSS
10,amazon-hub-counter-api-samples,Java
11,amazon-hub-counter-sdk-java,Java
12,amazon-hub-support,PowerShell
13,amazon-instant-access-sdk-java,Java
14,amazon-instant-access-sdk-net,C#
15,amazon-instant-access-sdk-php,PHP
16,amazon-instant-access-sdk-ruby,Ruby
17,amazon-launcher-integration-cordova-plugin,JavaScript
18,amazon-marketing-stream-examples,Python
19,amazon-mcf-plugin-for-magento-1,PHP
20,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
21,amazon-pay-api-sdk-dotnet,C#
22,amazon-pay-api-sdk-java,Java
23,amazon-pay-api-sdk-nodejs,JavaScript
24,amazon-pay-api-sdk-php,PHP
25,amazon-pay-sdk-csharp,C#
26,amazon-pay-sdk-java,Java
27,amazon-pay-sdk-php,PHP
28,amazon-pay-sdk-python,Python
29,amazon-pay-sdk-ruby,Ruby
30,amazon-pay-sdk-samples,PHP
31,amazon-payment-files-tools,Kotlin
32,amazon-payments-magento-2-plugin,PHP
33,amazon-ray,Python
34,amazon-s3-gst-plugin,C
35,amazon-sidewalk-android-samples,Kotlin
36,amazon-sidewalk-ios-samples,Swift
37,amazon-succinct-doc-representation,Python
38,amazon-template-library,C++
39,amazon-weak-ner-needle,Python
40,amigitenough,Go
41,amzn-drivers,C
42,amzn-ec2-ena-utilities,Python
43,auction-gym,Jupyter Notebook
44,autotrail,Python
45,aws-apigateway-client-lib,
46,aws-sigv4-signing-samples,Java
47,awsssmchaosrunner,Kotlin
48,basis-point-sets,Python
49,buy-with-prime-automate-tenant-validation,JavaScript
50,buy-with-prime-oauth-handler-ec2,JavaScript
51,buy-with-prime-saas-integration,TypeScript
52,computer-vision-basics-in-microsoft-excel,
53,confident-sinkhorn-allocation,Jupyter Notebook
54,convolutional-handwriting-gan,Python
55,cosearcher,Python
56,credence-to-causal-estimation,Python
57,data-jack-knife,Java
58,debiased-balanced-interleaving,Jupyter Notebook
59,differential-privacy-bayesian-optimization,Python
60,distance-assistant,Python
61,drs-sample-android-app,Java
62,drs-sample-ios-app,Objective-C
63,emukit-playground,JavaScript
64,eslint-plugin-no-date-parsing,TypeScript
65,exoplayer-amazon-port,Java
66,explainable-text-vqa,
67,faithful-data2text-cycle-training,Python
68,fashion-attribute-disentanglement,Python
69,fire-app-builder,Java
70,firetv-sample-touch-app,Java
71,ftv-livetv-sample-tv-app,Java
72,gameon-sample-game-unity,C#
73,gameon-starter-kit-unity,C#
74,git-commit-template,JavaScript
75,glad,JavaScript
76,golang-gitoperations,Go
77,halo-third-party-sdk-for-java,Java
78,halo-third-party-sdk-for-node-js,TypeScript
79,halo-third-party-sdk-for-python,Python
80,hawktracer,C++
81,image-misspell-coling2020,
82,image-to-recipe-transformers,Python
83,ion-object-mapper-dotnet,C#
84,jekyll-doc-project,HTML
85,kqr,
86,login-with-amazon-oscommerce,PHP
87,login-with-amazon-wordpress,PHP
88,merlin-on-demand-callgraph,Java
89,metalearn-leap,Python
90,milan,Scala
91,multiconer-baseline,Python
92,multilingual-keyphrase-generation,Python
93,multimodal-affinities,Python
94,MXFusion,Python
95,nimbus-jose-jwt_aws-kms-extension,Java
96,openapi-swift-code-generate,Swift
97,orthogonal-additive-gaussian-processes,Python
98,oss-attribution-builder,TypeScript
99,oss-contribution-tracker,TypeScript
100,oss-dashboard,Ruby
101,pecos,Python
102,pretraining-or-self-training,Python
103,python-jose_aws-kms-extension,
104,rdma-core,C
105,refuel-open-domain-qa,Python
106,rete-thewebconf-2022,Python
107,rheoceros,Python
108,robotiq-gripper-interface,C++
109,sample-fire-tv-app-video-skill,Java
110,selling-partner-api-docs,HTML
111,selling-partner-api-models,Java
112,selling-partner-api-samples,Java
113,seqzero,Python
114,service-model-swift-code-generate,Swift
115,sketch-constructor,JavaScript
116,smoke-aws,Swift
117,smoke-aws-credentials,Swift
118,smoke-aws-generate,Swift
119,smoke-aws-support,Swift
120,smoke-dynamodb,Swift
121,smoke-framework,Swift
122,smoke-framework-application-generate,Swift
123,smoke-framework-examples,Swift
124,smoke-http,Swift
125,sparse-vqvae,Python
126,ss-aga-kgc,Python
127,sto-transformer,Python
128,style-dictionary,JavaScript
129,supply-chain-simulation-environment,Python
130,tiny-attribution-generator,TypeScript
131,trans-encoder,Python
132,user-satisfaction-modeling,Python
133,workspace-resolver,JavaScript
134,xfer,Python
135,zeek-plugin-bacnet,Zeek
136,zeek-plugin-enip,Zeek
137,zeek-plugin-profinet,Zeek
138,zeek-plugin-s7comm,Zeek
139,zeek-plugin-tds,Zeek
140,zero-shot-rlhr,Python
